=== Step-level timing (force EXIF) ===
Backend: /Users/antoinehue/Code/charlie/test-perso  Partition: 2020/2020-03_Romane-est-arrivee

(See terminal for step-level timing with backend breakdown)

=== cProfile (full, sorted by own time) ===

         705878 function calls (692472 primitive calls) in 25.486 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3239   22.346    0.007   44.627    0.014 {method 'control' of 'select.kqueue' objects}
      159    0.798    0.005    0.798    0.005 {built-in method _hashlib.openssl_sha256}
      478    0.168    0.000    0.168    0.000 {method 'read' of '_io.BufferedReader' objects}
      317    0.153    0.000    0.153    0.000 {built-in method posix.unlink}
      158    0.136    0.001    0.136    0.001 /Users/antoinehue/Code/charlie/ouestcharlie-whitebeard/.venv/lib/python3.13/site-packages/pyexiv2/core.py:12(__init__)
      800    0.102    0.000    0.110    0.000 {built-in method _io.open}
      158    0.095    0.001    1.245    0.008 /Users/antoinehue/Code/charlie/ouestcharlie-whitebeard/.venv/lib/python3.13/site-packages/pyexiv2/core.py:56(read_exif)
      797    0.093    0.000    0.093    0.000 {method '__exit__' of '_io._IOBase' objects}
      319    0.085    0.000    0.085    0.000 {method 'write' of '_io.BufferedWriter' objects}
      159    0.080    0.001    0.080    0.001 {built-in method posix.write}
      164    0.056    0.000    0.056    0.000 {built-in method posix.close}
      161    0.052    0.000    0.052    0.000 {built-in method posix.replace}
     5128    0.052    0.000    0.052    0.000 {built-in method posix.lstat}
     3204    0.046    0.000    0.046    0.000 {method 'recv' of '_socket.socket' objects}
  3076/74    0.044    0.000    0.514    0.007 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_events.py:1970(_run_once)
     1600    0.038    0.000    0.038    0.000 {method 'get' of '_queue.SimpleQueue' objects}
     3231    0.037    0.000   45.232    0.014 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/selectors.py:540(select)
      159    0.035    0.000    0.035    0.000 {built-in method posix.open}
     1662    0.033    0.000    0.036    0.000 {built-in method posix.stat}
     2956    0.022    0.000    0.044    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/pathlib/_local.py:257(_parse_path)
      158    0.020    0.000    0.036    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-py-toolkit/src/ouestcharlie_toolkit/photo.py:126(_map_exif_extra)
     5043    0.020    0.000    0.039    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/xml/etree/ElementTree.py:975(register_namespace)
     1603    0.020    0.000    0.020    0.000 {method 'send' of '_socket.socket' objects}
    48951    0.019    0.000    0.020    0.000 {built-in method builtins.isinstance}
      158    0.019    0.000    1.277    0.008 /Users/antoinehue/Code/charlie/ouestcharlie-whitebeard/.venv/lib/python3.13/site-packages/pyexiv2/core.py:22(close)
      641    0.018    0.000    0.109    0.000 <frozen posixpath>:388(realpath)
     6454    0.018    0.000    2.465    0.000 {method 'run' of '_contextvars.Context' objects}
      640    0.018    0.000    0.020    0.000 {built-in method builtins.__build_class__}
      316    0.018    0.000    0.018    0.000 {method 'feed' of 'xml.etree.ElementTree.XMLParser' objects}
     5292    0.015    0.000    0.024    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/pathlib/_local.py:117(__init__)
27955/25357    0.014    0.000    0.015    0.000 {built-in method builtins.len}
     1600    0.014    0.000    0.060    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/concurrent/futures/thread.py:165(submit)
  544/158    0.014    0.000    0.024    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/xml/etree/ElementTree.py:856(_serialize_xml)
     7032    0.013    0.000    0.059    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/pathlib/_local.py:227(__str__)
    17344    0.013    0.000    0.013    0.000 {built-in method sys.intern}
     1600    0.012    0.000    0.035    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/futures.py:362(_chain_future)
    39548    0.012    0.000    0.012    0.000 {method 'startswith' of 'str' objects}
      158    0.012    0.000    0.021    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-whitebeard/.venv/lib/python3.13/site-packages/pyexiv2/convert.py:37(_parse)
     4849    0.012    0.000    0.022    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_events.py:852(_call_soon)
     1422    0.011    0.000    1.929    0.001 /Users/antoinehue/Code/charlie/ouestcharlie-py-toolkit/src/ouestcharlie_toolkit/xmp.py:297(read_or_create_from_picture)
     4646    0.011    0.000    0.032    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/pathlib/_local.py:498(__init__)
 6301/180    0.011    0.000    0.567    0.003 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/events.py:87(_run)
    14406    0.011    0.000    0.017    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/threading.py:306(__exit__)
    14406    0.011    0.000    0.021    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/threading.py:303(__enter__)
     1600    0.011    0.000    0.072    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/concurrent/futures/_base.py:537(set_result)
      317    0.010    0.000    0.289    0.001 /Users/antoinehue/Code/charlie/ouestcharlie-py-toolkit/src/ouestcharlie_toolkit/thumbnail_builder.py:111(_stage_photos)
     4933    0.010    0.000    0.025    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/pathlib/_local.py:307(_tail)
     1603    0.010    0.000    0.010    0.000 {method 'put' of '_queue.SimpleQueue' objects}
     4011    0.010    0.000    0.041    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/pathlib/_abc.py:130(with_segments)
     5832    0.010    0.000    0.015    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/xml/etree/ElementTree.py:806(add_qname)
    24314    0.009    0.000    0.009    0.000 {method 'get' of 'dict' objects}
     1600    0.009    0.000    0.123    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_events.py:887(run_in_executor)
     1604    0.009    0.000    0.016    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/threading.py:281(__init__)
     1600    0.009    0.000    0.509    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/concurrent/futures/thread.py:54(run)
      158    0.009    0.000    0.028    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/xml/etree/ElementTree.py:795(_namespaces)
      474    0.009    0.000    1.515    0.003 /Users/antoinehue/Code/charlie/ouestcharlie-py-toolkit/src/ouestcharlie_toolkit/photo.py:207(extract_exif)
     1600    0.009    0.000    0.059    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/futures.py:342(_copy_future_state)
     9610    0.008    0.000    0.013    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_futures.py:13(isfuture)
      158    0.008    0.000    0.112    0.001 /Users/antoinehue/Code/charlie/ouestcharlie-py-toolkit/src/ouestcharlie_toolkit/xmp.py:485(serialize_xmp)
     1600    0.008    0.000    0.052    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/futures.py:406(wrap_future)
     2707    0.008    0.000    0.048    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/pathlib/_local.py:289(drive)
    11200    0.008    0.000    0.008    0.000 {method '__enter__' of '_thread.RLock' objects}
     1602    0.007    0.000    0.056    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/selector_events.py:129(_read_from_self)
      158    0.007    0.000    0.079    0.001 /Users/antoinehue/Code/charlie/ouestcharlie-py-toolkit/src/ouestcharlie_toolkit/xmp.py:390(parse_xmp)
     1600    0.007    0.000    0.047    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/futures.py:391(_call_set_state)
    14697    0.007    0.000    0.007    0.000 {built-in method builtins.hasattr}
      316    0.007    0.000    0.025    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/xml/etree/ElementTree.py:1335(XML)
    16153    0.007    0.000    0.007    0.000 {method 'decode' of 'bytes' objects}
     1431    0.007    0.000    0.198    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-py-toolkit/src/ouestcharlie_toolkit/backends/local.py:34(read)
     4854    0.006    0.000    0.008    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/events.py:36(__init__)
     1600    0.006    0.000    0.011    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/threading.py:472(acquire)
     1600    0.006    0.000    0.012    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/concurrent/futures/_base.py:408(add_done_callback)
     1431    0.006    0.000    0.223    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-whitebeard/profile_indexing.py:55(read)
      158    0.005    0.000    0.005    0.000 {built-in method builtins.dir}
     1612    0.005    0.000    0.022    0.000 {method 'set_result' of '_asyncio.Future' objects}
     5043    0.005    0.000    0.017    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/re/__init__.py:164(match)
     1131    0.005    0.000    0.009    0.000 <frozen posixpath>:72(join)
     1610    0.005    0.000    0.006    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_events.py:457(create_future)
     3612    0.005    0.000    0.009    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/pathlib/_local.py:237(_format_parsed_parts)
     1600    0.005    0.000    0.015    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/threading.py:519(release)
     4212    0.005    0.000    0.005    0.000 {method 'split' of 'str' objects}
    10868    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
     3231    0.005    0.000    0.007    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/selector_events.py:744(_process_events)
      640    0.005    0.000    0.156    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-py-toolkit/src/ouestcharlie_toolkit/backends/local.py:26(_resolve)
     5101    0.005    0.000    0.008    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/re/__init__.py:330(_compile)
      158    0.005    0.000    0.010    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-py-toolkit/src/ouestcharlie_toolkit/xmp.py:97(_register_extra_ns)
     2957    0.005    0.000    0.012    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/pathlib/_local.py:277(_raw_path)
     4646    0.005    0.000    0.008    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/pathlib/_local.py:505(__new__)
     1595    0.005    0.000    2.306    0.001 /Users/antoinehue/Code/charlie/ouestcharlie-whitebeard/profile_indexing.py:91(profile_steps)
      805    0.005    0.000    0.100    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-py-toolkit/src/ouestcharlie_toolkit/backends/local.py:43(write_conditional)
     4719    0.005    0.000    0.006    0.000 {method 'join' of 'str' objects}
     1600    0.005    0.000    0.009    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/concurrent/futures/_base.py:497(set_running_or_notify_cancel)
     3380    0.004    0.000    0.005    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/pathlib/_local.py:174(_str_normcase)
    11325    0.004    0.000    0.004    0.000 {method '__exit__' of '_thread.RLock' objects}
     1600    0.004    0.000    0.009    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/concurrent/futures/_base.py:393(done)
     3351    0.004    0.000    0.043    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/pathlib/_local.py:166(__fspath__)
     1603    0.004    0.000    0.038    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_events.py:876(call_soon_threadsafe)
     3246    0.004    0.000    0.017    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_events.py:823(call_soon)
     5049    0.004    0.000    0.004    0.000 {method 'match' of 're.Pattern' objects}
9531/8251    0.004    0.000    0.036    0.000 {built-in method posix.fspath}
     2956    0.004    0.000    0.004    0.000 {built-in method posix._path_splitroot_ex}
     1600    0.004    0.000    0.020    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/concurrent/futures/_base.py:328(__init__)
     3203    0.004    0.000    0.008    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/threading.py:398(notify)
     1600    0.004    0.000    0.004    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/threading.py:122(RLock)
     1422    0.004    0.000    1.943    0.001 /Users/antoinehue/Code/charlie/ouestcharlie-whitebeard/src/whitebeard/indexer.py:283(_extract_one)
    11939    0.004    0.000    0.004    0.000 {method 'items' of 'dict' objects}
     5354    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x1117463f0}
      116    0.004    0.000    0.004    0.000 {built-in method builtins.compile}
     1600    0.004    0.000    0.007    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/concurrent/futures/_base.py:428(result)
        1    0.004    0.004    0.069    0.069 /Users/antoinehue/Code/charlie/ouestcharlie-py-toolkit/src/ouestcharlie_toolkit/backends/local.py:105(_list_files)
      316    0.004    0.000    0.040    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-py-toolkit/src/ouestcharlie_toolkit/xmp.py:85(_register_et_namespaces)
     2170    0.003    0.000    0.027    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/pathlib/_local.py:245(_from_parsed_parts)
     3234    0.003    0.000    0.005    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_events.py:772(time)
      477    0.003    0.000    0.027    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/pathlib/_abc.py:222(with_suffix)
     1601    0.003    0.000    0.003    0.000 {method 'get_nowait' of '_queue.SimpleQueue' objects}
      392    0.003    0.000    0.047    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/pathlib/_local.py:365(relative_to)
     6078    0.003    0.000    0.003    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/xml/etree/ElementTree.py:1030(_escape_attrib)
     5832    0.003    0.000    0.003    0.000 {method 'rsplit' of 'str' objects}
     1600    0.003    0.000    0.066    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/futures.py:378(_set_state)
      478    0.003    0.000    0.216    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/pathlib/_abc.py:621(read_bytes)
     7657    0.003    0.000    0.003    0.000 {method 'write' of '_io.StringIO' objects}
     6454    0.003    0.000    0.003    0.000 {method 'popleft' of 'collections.deque' objects}
      805    0.003    0.000    0.109    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-whitebeard/profile_indexing.py:71(write_conditional)
     1603    0.003    0.000    0.007    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/threading.py:428(notify_all)
     6697    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
      319    0.003    0.000    0.247    0.001 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/pathlib/_abc.py:635(write_bytes)
      790    0.003    0.000    0.239    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-py-toolkit/src/ouestcharlie_toolkit/xmp.py:257(write)
       58    0.003    0.000    0.014    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/traceback.py:522(format_frame_summary)
     6461    0.003    0.000    0.003    0.000 {method 'append' of 'collections.deque' objects}
     1298    0.003    0.000    0.019    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/pathlib/_local.py:44(__getitem__)
     1600    0.003    0.000    0.006    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/concurrent/futures/_base.py:463(exception)
     1600    0.003    0.000    0.014    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/concurrent/futures/thread.py:184(_adjust_thread_count)
      158    0.003    0.000    0.003    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-py-toolkit/src/ouestcharlie_toolkit/schema.py:97(from_sidecar)
     1600    0.003    0.000    0.049    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/concurrent/futures/_base.py:337(_invoke_callbacks)
     6408    0.003    0.000    0.003    0.000 {method '__exit__' of '_thread.lock' objects}
     1600    0.003    0.000    0.006    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/concurrent/futures/_base.py:383(cancelled)
      641    0.002    0.000    0.119    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/pathlib/_local.py:664(resolve)
      477    0.002    0.000    0.012    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/pathlib/_local.py:354(with_name)
     3206    0.002    0.000    0.002    0.000 {method '__enter__' of '_thread.lock' objects}
     4740    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
     1603    0.002    0.000    0.022    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/selector_events.py:141(_write_to_self)
      640    0.002    0.000    0.022    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-whitebeard/profile_indexing.py:40(_t)
     5130    0.002    0.000    0.002    0.000 {method 'set' of 'xml.etree.ElementTree.Element' objects}
      316    0.002    0.000    0.028    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-py-toolkit/src/ouestcharlie_toolkit/xmp.py:120(xmp_path_for)
        1    0.002    0.002    0.002    0.002 {built-in method _posixsubprocess.fork_exec}
      640    0.002    0.000    0.003    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-whitebeard/profile_indexing.py:44(__exit__)
     4808    0.002    0.000    0.002    0.000 {method 'cancelled' of '_asyncio.Future' objects}
      392    0.002    0.000    0.028    0.000 <frozen _collections_abc>:1037(__contains__)
     5806    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
     1690    0.002    0.000    0.007    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/pathlib/_local.py:193(__eq__)
      158    0.002    0.000    0.003    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-py-toolkit/src/ouestcharlie_toolkit/photo.py:23(_parse_exif_datetime)
      158    0.002    0.000    0.058    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/xml/etree/ElementTree.py:683(write)
        4    0.002    0.001    0.002    0.001 {built-in method posix.read}
     2564    0.002    0.000    0.021    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/pathlib/_local.py:252(_from_parsed_string)
     1606    0.002    0.000    0.003    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/futures.py:298(_get_loop)
      474    0.002    0.000    0.163    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-py-toolkit/src/ouestcharlie_toolkit/xmp.py:238(read)
